#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Gesprchsphasen|Abschlussphase|Anfangsphase|Argumentationsphase|Beschlussphase|Informationsphase|Kommentar|Sonstiges
#T_SP=webanno.custom.Gesprchstechniken|Kommentar|Paraphrasieren|Strukturieren|Verbalisieren


#Text=L: Das läuft jetzt schon, oder?
11-5	385-386	,	*[9]	Zeitlicher Rahmen[9]	*[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
11-6	387-390	wir	*[9]	Zeitlicher Rahmen[9]	*[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
11-7	391-398	kriegen	*[9]	Zeitlicher Rahmen[9]	*[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
11-8	399-402	das	*[9]	Zeitlicher Rahmen[9]	*[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
11-9	403-410	schnell	*[9]	Zeitlicher Rahmen[9]	*[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
11-10	411-418	geklärt	*[9]	Zeitlicher Rahmen[9]	*[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	
11-11	418-419	.	*[9]	Zeitlicher Rahmen[9]	*[9]	*[9]	*[9]	*[9]	*[9]	_	_	_	_	

#Text=E: Genau, ja.
12-1	420-421	E	_	_	_	_	_	_	_	_	_	_	_	
12-2	421-422	:	*[10]	Sonstiges[10]	*[10]	*[10]	*[10]	*[10]	*[10]	_	_	_	_	
12-3	423-428	Genau	*[10]	Sonstiges[10]	*[10]	*[10]	*[10]	*[10]	*[10]	_	_	_	_	
12-4	428-429	,	*[10]	Sonstiges[10]	*[10]	*[10]	*[10]	*[10]	*[10]	_	_	_	_	
12-5	430-432	ja	*[10]	Sonstiges[10]	*[10]	*[10]	*[10]	*[10]	*[10]	_	_	_	_	
12-6	432-433	.	*[10]	Sonstiges[10]	*[10]	*[10]	*[10]	*[10]	*[10]	_	_	_	_	

#Text=L: Okay, Sie wollten über die Notenfamilie ansprechen?
13-1	434-435	L	_	_	_	_	_	_	_	_	_	_	_	
13-2	435-436	:	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	_	_	_	_	
13-3	437-441	Okay	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	*[55]	*[55]	Strukturieren[55]	*[55]	
13-4	441-442	,	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	*[55]	*[55]	Strukturieren[55]	*[55]	
13-5	443-446	Sie	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	*[55]	*[55]	Strukturieren[55]	*[55]	
13-6	447-454	wollten	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	*[55]	*[55]	Strukturieren[55]	*[55]	
13-7	455-459	über	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	*[55]	*[55]	Strukturieren[55]	*[55]	
13-8	460-463	die	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	*[55]	*[55]	Strukturieren[55]	*[55]	
13-9	464-476	Notenfamilie	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	*[55]	*[55]	Strukturieren[55]	*[55]	
13-10	477-487	ansprechen	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	*[55]	*[55]	Strukturieren[55]	*[55]	
13-11	487-488	?	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	*[55]	*[55]	Strukturieren[55]	*[55]	

#Text=E: Genau, genau.
14-1	489-490	E	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	_	_	_	_	
14-2	490-491	:	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	_	_	_	_	
14-3	492-497	Genau	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	_	_	_	_	
14-4	497-498	,	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	_	_	_	_	
14-5	499-504	genau	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	_	_	_	_	
14-6	504-505	.	*[11]	Inhaltlicher Rahmen[11]	*[11]	*[11]	*[11]	*[11]	*[11]	_	_	_	_	

#Text=E: Also mir ist aufgefallen, dass die Testergebnisse überhaupt nicht seine Fähigkeiten widerspiegeln.
15-1	506-507	E	_	_	_	_	_	_	_	_	_	_	_	
15-2	507-508	:	_	_	_	_	_	_	_	_	_	_	_	
15-3	509-513	Also	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
15-4	514-517	mir	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
15-5	518-521	ist	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
15-6	522-533	aufgefallen	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
15-7	533-534	,	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
15-8	535-539	dass	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
15-9	540-543	die	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
15-10	544-558	Testergebnisse	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
15-11	559-568	überhaupt	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
15-12	569-574	nicht	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
15-13	575-580	seine	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
15-14	581-592	Fähigkeiten	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
15-15	593-606	widerspiegeln	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
15-16	606-607	.	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	

#Text=E: Er ist zu Hause super top, wirklich die Hausaufgaben überhaupt keine Probleme, gar nichts.
16-1	608-609	E	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-2	609-610	:	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-3	611-613	Er	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-4	614-617	ist	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-5	618-620	zu	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-6	621-626	Hause	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-7	627-632	super	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-8	633-636	top	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-9	636-637	,	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-10	638-646	wirklich	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-11	647-650	die	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-12	651-663	Hausaufgaben	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-13	664-673	überhaupt	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-14	674-679	keine	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-15	680-688	Probleme	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-16	688-689	,	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-17	690-693	gar	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-18	694-700	nichts	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
16-19	700-701	.	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	

#Text=E: Und ich war sehr irritiert davon, dass diese Testergebnisse so schlecht sind.
17-1	702-703	E	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-2	703-704	:	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-3	705-708	Und	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-4	709-712	ich	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-5	713-716	war	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-6	717-721	sehr	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-7	722-731	irritiert	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-8	732-737	davon	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-9	737-738	,	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-10	739-743	dass	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-11	744-749	diese	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-12	750-764	Testergebnisse	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-13	765-767	so	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-14	768-776	schlecht	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-15	777-781	sind	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
17-16	781-782	.	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	

#Text=E: Und ich frage mich, woran das liegt, weil es kann ja nicht sein, dass mein Sohn zu Hause so gut ist und in der Schule dann plötzlich schlechte Noten schreibt.
18-1	783-784	E	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-2	784-785	:	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-3	786-789	Und	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-4	790-793	ich	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-5	794-799	frage	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-6	800-804	mich	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-7	804-805	,	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
18-8	806-811	woran	*[12]	*[12]	*[12]	*[12]	Informationsphase[12]	*[12]	*[12]	_	_	_	_	
